"geoid","geolevel","year","education_score","education_rnk","education_state_rnk"
"05000US17197","county","2019","129.43","91.8159","92.0792"
"05000US17199","county","2019","110.34","73.4335","71.2871"
"05000US17201","county","2019","108.11","69.5652","66.3366"
"05000US17203","county","2019","127.35","90.3133","89.1089"
"05000US18001","county","2019","88.33","27.6215","20.8791"
"05000US18003","county","2019","115.89","81.0742","85.7143"
"05000US18005","county","2019","115.56","80.5307","83.5165"
"05000US18007","county","2019","92.12","34.399","27.4725"
"05000US18009","county","2019","92.11","34.335","26.3736"
"05000US18011","county","2019","136.76","95.6841","97.8022"
"05000US18013","county","2019","112.49","76.4386","81.3187"
"05000US18015","county","2019","99.27","50.032","52.7473"
"05000US18017","county","2019","84.32","20.2366","8.7912"
"05000US18019","county","2019","109.72","72.6662","79.1209"
"05000US18021","county","2019","97.12","44.9808","43.956"
"05000US18023","county","2019","86.3","23.7532","14.2857"
"05000US18025","county","2019","73.41","7.4808","2.1978"
"05000US18027","county","2019","54.96","1.1829","1.0989"
"05000US18029","county","2019","104.77","62.8517","70.3297"
"05000US18031","county","2019","104.46","61.9885","67.033"
"05000US18033","county","2019","102.03","57.1611","62.6374"
"05000US18035","county","2019","114.09","78.5166","82.4176"
"05000US18037","county","2019","106.34","66.2724","74.7253"
"05000US18039","county","2019","84.52","20.4284","9.8901"
"05000US18041","county","2019","83.92","19.5652","7.6923"
"05000US18043","county","2019","116.98","82.6407","87.9121"
"05000US18045","county","2019","96.62","44.1496","40.6593"
"05000US18047","county","2019","99.64","51.3427","54.9451"
"05000US18049","county","2019","92.29","34.5588","29.6703"
"05000US18051","county","2019","103.55","59.8785","63.7363"
"05000US18053","county","2019","96.85","44.5972","41.7582"
"05000US18055","county","2019","96.39","43.702","39.5604"
"05000US18057","county","2019","148.23","98.3376","100"
"05000US18059","county","2019","119.89","85.5818","91.2088"
"05000US18061","county","2019","104.62","62.5","68.1319"
"05000US18063","county","2019","127.52","90.4731","95.6044"
"05000US18065","county","2019","94.31","39.0985","35.1648"
"05000US18067","county","2019","99.82","51.7583","56.044"
"05000US18069","county","2019","104.32","61.6368","64.8352"
"05000US18071","county","2019","99.42","50.5754","53.8462"
"05000US18073","county","2019","97.23","45.3645","45.0549"
"05000US18075","county","2019","87.2","25.5754","16.4835"
"05000US18077","county","2019","105.24","63.7788","72.5275"
"05000US18079","county","2019","92.13","34.4309","28.5714"
"05000US18081","county","2019","122.41","87.7558","94.5055"
